Speaker,Speech
M. K. Vishnu Prasad — Cuddalore,"Sir, I join other MPs to thank our hon. Railway Minister because the Minister listens to our problems and if possible, he is also taking good care. So, in that way, he does not differentiate between the Treasury and the Opposition. When the work is done, we appreciate. We criticize when the situation arises. Sir, regarding Amrit Bharat, in my Cuddalore constituency, Vriddhachalam station has already been upgraded. Now, Thirupadiripuliyur station is being upgraded in this scheme. My request is in Pennadam station, the platform is very low and the passengers are finding it very difficult to climb the railways. So, that has to be taken care of. Panruti station has to be upgraded under Amrit Bharat scheme. Sir, one more thing. The toilets in the station as well as in the trains are to be maintained even more hygienically. Kindly take extra action. Out of the question, out of the mainstream, before Corona, the senior citizens, 60 years and above, male and female passengers used to get 60 per cent and 40 per cent rebate on the train tickets respectively. This is pan-India. But during Corona, it was stopped abruptly. We claim that our country is progressing very fast economically. I would like to know through you, Speaker Sir, whether the Railway Ministry has any plans to reintroduce that rebate scheme for the senior citizens. This is one more thing."
M. K. Vishnu Prasad — Cuddalore,"I really appreciate, once again, the responsible answers given by the hon. Minister. Regarding Vande Bharat trains, passengers want to take tickets at the station, but that is not permitted by the station masters. They are asking the passengers to go into the train and buy the ticket. But when they get inside the train and ask for the ticket, the person who is giving the ticket gives you the ticket with a penalty. Will the Ministry look into this very seriously and solve the problem at the earliest?"
Sudhakar Singh — Buxar,"Speaker Sir, I would like to ask through you whether the Central Government intends to start the reconstruction of Buxar Rail Way Station in Bihar State under the 'Amtri Bharat Station Scheme' by when? Chud being the place of education of Lord Ram, lakhs of devotees visit there every year."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker Sir, I will share the complete information about the development of Buxar Railway Station and the present status with the Honorable Saas Daji."
Deepender Singh Hooda — Rohtak,"President, I want to ask through you that before the Covid pandemic, a total of 13 pairs of local passenger trains were running regularly on the Delhi-Rohtak route. After the Covid pandemic, five of these trains have been discontinued, three from Dajanam have been permanently discontinued and two have been converted into express trains. There are many railway stations named Kalanaur and Asthal Bohar, daily commuters there are facing a lot of difficulties. Before 2014, 13 pairs of trains were running there. During the tenure of your government, instead of increasing the number of trains, their number has been reduced. Minister sir, take cognizance of this and get these trains started again."
Lavu Sri Krishna Devarayalu — Narasaraopet,"Honorable Speaker, first of all I would like to clearly inform the Honorable MP that the number of relay vehicles has not reduced, rather the number of relay vehicles is continuously increasing. I will definitely give you its data also. I have also given clear data in answers to many questions earlier that the number of relay vehicles is continuously increasing. Only announcements were made about the time of Congress party's government, but relay vehicles did not move. It is not so, the number of Rail Gadiya is continuously increasing and their capacity is also continuously increasing. New generation vehicles are also coming. I will give him specific information about the question that Honorable Sasad Sir has asked regarding the Delhi-Rohtak Rail Line."
Manickam Tagore — Virudhunagar,"Sir, the Amit Bharat station scheme is one of the important schemes. Under this scheme, the stations are selected on some kind of logic. Virudhunagar is the district headquarters and an aspirational district also. It has been one of those stations in Tamil Nadu. This station's work started two years back. There is a delay in that work. What is the completion date? In the next phase, will the Sivakasi station, which is also a very important station in Virudhunagar district, be included in the ABSS scheme?"
Rajeev Kumar Rai — Ghosi,"Honorable Minister, my question is nothing new. I would just like to know from you whether you are aware that Mau Rail Way station has been commercially upgraded? I have been making a request since day one whether there is something for Mau or not? You had promised Vande Bharat Express. Would you try any other alternative solution? Is there a plan to run any new train from Mau after the upgradation of Rail Way station?"
Lavu Sri Krishna Devarayalu — Narasaraopet,The request made by Honorable Speaker and Honorable Members of Parliament has been discussed with them several times and every possible effort is being made for it. It is not that we are ignoring any area. (Idat)
G. Lakshminarayana — Anantapur,"Respected Speaker, Sir, I wish to bring to the notice of the hon. Minister that in the Mandals of Kudair, Chilamathur and Gooty in my Parliamentary constituency, both stations have been shifted repeatedly due to the architect of permanent buildings. This constant re-location has caused significant inconvenience to the residents who are forced to travel long distances simply to access essential postal services. The Department already wants land in all three mandals where no construction has been undertaken. This results in delays in service delivery and also exposes Government land to the risk of encroachment. Therefore, I would like to ask the hon. Minister, “Whether the Government will take up the construction of permanent postal buildings on the existing departmental land in Kuderu, Coimbatore and Guthi Mandals to ensure stable, accessible and timely postal services for the public.”"
Chandra Sekhar Pemmasani — Guntur,"Sir, we have a standardized process for any post office to renovate or to reconstruct or to upgrade for modern facilities. As far as specific post offices are concerned like what the hon. MP has requested, we are happy to look into them. But in general, in Andhra Pradesh, we have spent over Rs. 6 crore for upgrading the post offices. The other thing is regarding Amaravati, which is a new capital. There, we are building a completely world-class new Regional Office at almost Rs. 80 crores. So, whatever the hon. MP has requested, we are happy to look into it. Thank you."
Saugata Roy — Dum Dum,"Sir, this is my chance to meet the minister who is here. Honorable Speaker: Please sit. You are a senior person. You talk a lot while sitting. Please, Dada, sit. You should follow the rules more, so that the new member gets good guidance. … (Interruption) Finance Sub-Standing Committee Statement"
Ajendra Singh Lodhi — Hamirpur,"Mr. Speaker, I am from the Ministry of Coal. Full Report of the Coal, Iron and Steel Sub-Divisional Standing Committee (2025-26) on the issue of 'Acceleration and Stratification of Environment and Forestry Process for Coal Mining Projects' (Hindi and English versions) Presenting. ---- STANDING COMMITTEE ON INDUSTRY 331st Report"
Anand Kumar — Bahraich,"I would like to draw your attention towards the position of vacant posts in relation to the sanctioned posts at present in various departments of the Central Government and especially the Government of Uttar Pradesh - Administrative, Technical, Health, Education, Rehabilitation, Revenue, Panchayat, Rural Development, Justice, Municipal Corporation, Transport etc. Timely filling of these posts is necessary with a view to make the public services more effective. Is. It is necessary that the details of these vacant posts department-wise, post-wise and category-wise (Group-A, B, C and D) should be made public. Besides, it is also necessary to provide clear information about the current status of vacancies reserved for Scheduled Castes and Scheduled Tribes, so that the recruitment process can proceed equally and fairly. Apart from this, information about the number, designation, department-wise details and service conditions of employees working in various departments through tendering and outsourcing should also be presented. I request that the government should take forward the process of filling the vacant posts in a systematic and timely manner keeping all these aspects in mind. Thank you. (Inat) Re: Need to expedite Bargarh-Nuapada new railway line project in Odisha and also run a new train between Bargarh and Bhubaneswar."
Pradip Purohit — Bargarh,"I would like to draw the attention of the Government to the progress of the way line project from Bargarh to Naupara in Odisha. This project, which costs ₹ 2622 crore, will significantly contribute to dynamism and employment opportunities for the people of Bargarh and Naupara. I would especially like to express my gratitude to the Prime Minister and Prime Minister who have taken this project as an important step in the development of the labor sector. It is also requested that a new train service be started daily from Bargarh to Bhavu Neshwar in the morning. This step will not only make travel convenient for local laborers and employers, but will also improve regional trade and education. It is requested to the Honorable Minister that necessary steps should be taken to complete this project at the earliest and start the services regularly, so that the people of this important region of Odisha can get the benefits on time. This project and the new rail services are expected to make a significant contribution to the social and economic development of the area. (Inat) Re: Various railway related issues in Jammu Parliamentary Constituency"
Varsha Gaikwad — Mumbai North Central,"I would like to draw your attention to a very important and national security related issue in my Lok Sabha constituency Maada North. Maada district is located on the India-Baghash border and shares approximately 165.5 km long national border. This entire area is extremely sensitive from a strategic point of view, where air facilities are essential for quick security response and surveillance. Maida Airport was constructed on 144 acres of land in 1962, but due to the width of the runway being only 1,097 meters, this airport could not come into operation till date. Presently the nearest airports—Bagdogra (241 km) and Kolkata (323 km)—are quite far away, hampering prompt military response to any emergency or security situation. Keeping in mind the security of the border area, military deployment and national interest, it is very important to renovate the female airport and develop it efficiently for defense use. In case the present location is found not technically suitable, it is humbly requested that suitable alternative land be identified immediately, so that this strategic requirement can be met without any hesitation. (Inat) Re: Need to expedite budget allocation for construction of Narela bypass road in Delhi"
Yogender Chandoliya — North West Delhi(Sc),I wish to draw the attention of the House to an important issue. There is an urgent need for a bypass in the North West Lok Sabha constituency of Delhi. The Narrita Bypass affects the residents of Narrita as well as the travelers from the surrounding areas of Haryana. The construction of this bypass is necessary not only to reduce the traffic flow but also to improve the air quality and support the socio-economic development of the canal and the surrounding area. I urge the Honorable Minister to allocate the required budget for the Naritha Bypass as soon as possible and start the construction of the Naritha Bypass. (Inat) Re: Release of funds for development of newly formed Gram Panchayats in Bastar Parliamentary Constituency
Mahesh Kashyap — Bastar(St),"The newly constituted Gram Panchayat in Bastar Lok Sabha constituency of Chhattisgarh is not getting the benefit of the amount of 14th and 15th Finance, due to which the development of the newly constituted Gram Panchayat is being hindered. My request is that Panchayati Raj Minister should please take the initiative to release the funds in favor of the newly constituted Gram Panchayat after issuing proper drug orders in all this matter. (Inat) Re: Need to stall Flue Gas Desulphurization (FGD) system in all thermal power units within a 300 km radius of Delhi to improve air quality in Delhi"
Rajiv Pratap Rudy — Saran,"I wish to draw the attention of the Hon'ble Minister for Power and the Hon'ble Minister for Environment, Forest and Climate Change to a serious concern affecting Delhi's air quality. As per an analysis of the Central Electricity Authority, out of 21 thermal power units within a 300 km radius of Delhi that do not have Flue Gas Desulphurisation (FGD) systems, 15 units across 6 thermal power plants are still operational without FGD, resulting in continuous sulfur dioxide (SO₂) emissions, a major cause of respiratory diseases and acid rain. This is in violation of mandatory emission norms notified by the Government. I urge the Government to place on record the compliance status of these plants, fix strict deadlines, and initiate penal action, including suspension of non-compliant units, in the interest of public health. Re: Need to include Mangalore International Airport in the list of “Points of Call” under bilateral air service agreements CAPTAIN BRIJESH CHOWTA (DAKSHINA KANNADA): I wish to raise the issue of the non-inclusion of Mangaluru International Airport (MIA) in the list of “Points of Call” under India’s bilateral Air Services Agreements. MIA, located in Dakshina Kannada district, serves as the principal aviation gateway for coastal Karnataka and adjoining parts of Kerala. The airport handled approximately 23.4 lakh passengers, including 7.15 lakh international passengers, and over 16,800 aircraft movements in 2024-25, registering over 15 per cent annual growth. The Tulu Nadu region has a large overseas workforce in the Gulf and Middle East that depends on Mangaluru for travel. The absence of PoC status forces passengers to route through Bengaluru or Kochi, increasing travel time and costs. Allowing foreign carriers to operate directly to Mangaluru will ease this burden and naturally expand travel options for the diaspora. Enhanced connectivity will also boost trade and investment, supporting industries such as marine exports, arecanut, cashew, and petrochemicals, and complementing the growth of Mangalore SEZ. Furthermore, better international access will promote tourism and educational mobility, enabling easier travel for students and visitors to institutions like NITK and MIT. I urge the Hon'ble Minister of Civil Aviation to accord PoC status to Mangaluru International Airport. Re: Need to start a passenger train from Howrah to Sambalpur and name it in honor of Martyr Baji Rout"
Rudra Narayan Pany — Dhenkanal,"The line starts from Badhu Park station in Aghu district of Odisha and reaches Sanukada in Jajpur district via Pajag, Kamakshanagar, Bhuban of Dhakan district. It has been almost 3 years since this line has become functional and now the freight train is running on it. Mainly coal and iron ore are being transported here. The foundation stone of this project was laid in 1997 but after a year in 2022, this road became operational in the second innings of Modi government. But it is a matter of regret that the passenger train is not running on this route. Since 1997, when land was being acquired for this rail route, there was hope and expectation among the local people that someday a passenger train would run through their villages. But sadly this dream has remained unfulfilled till now. After coming to this Lok Sabha, I have raised this issue two or three times. Even today, I make a close request to the government that a passenger train should be run from Howrah to Sab Paru on this route and this train should be named after the late brave martyr Bajiraut of Bhuban-Nihind Paru. (Inat) Re: Establishment of a Navodaya Vidyalaya or PM SHRI Vidyalaya in Mauganj District, Madhya Pradesh"
Janardan Mishra — Rewa,"A new district Maughaj has been created in the most backward part of Rewa district. Almost the entire population of Maugaj district lives in remote and hilly areas. There is no best school for education. There is a great need for an excellent school in Maugaj district. Therefore, I request the Minister to please establish a Navodaya Vidyalaya or PM Shree Vidyalaya in Maugaj district. (Inat) Re: Reinstallation of Piprawha Buddhist relics in Kapilavastu Museum, Siddharth Nagar, Uttar Pradesh"
Saugata Roy — Dum Dum,"I thank the Government of India for the historic efforts made to rescue the Naipparhwa Buddhist remains. These remains, found by Nivinam Claxton Peppe in 1898 at Naipparhwa in Nasirathanagar, are an invaluable heritage for millions of Buddhists and also a symbol of India's tradition of compassion, peace and non-violence. When these remains were listed for auction at ‘Sotheby’s’ in Hong Kong in May 2025, it was a challenge to India’s cultural identity. At such a moment, the government under the leadership of the Prime Minister quickly intervened and stopped the auction and set an example of Virasat Sir moment by bringing him back to India. The government further gave new impetus to Buddhist cultural diplomacy, India-Bhutan friendship and global soft power by sending these remains to the Bhutanese administration. This has further strengthened India's leadership role in these unprecedented times. Finally, I request that these sacred relics should be relocated to the Kanpivastu Sangrahalaya located in Nasithanagar, so that the local economy, tourism and Buddhist circuit can get a boost and Nasithanagar can be placed more prominently on the world Buddhist map. (Inat) Re: Construction of Modern Sports Complex in Kushi Nagar Parliamentary Constituency"
Hanuman Beniwal — Nagaur,"I want to draw your attention towards Kushinagar Lok Sabha constituency. The possibility of sports activities in Kushinagar Lok Sabha constituency is very high because the youth here are very enthusiastic towards sports. People here are interested in cricket, football, kabaddi, and other traditional sports. Promoting agricultural activities in Kushinagar will not only lead to physical and mental development of the youth but will also develop agricultural culture in the area. There is no big stadium or sports complex for sports and youth development in this area, due to which the youth here are not getting opportunities to participate in sports activities. Therefore, I urge you to take necessary action to build a modern sports complex in Kushinagar Lok Sabha constituency. This will provide opportunities to the youth here to participate in sports activities and develop their skills. (Inat) Re: Need for doubling of the Indore-Gwalior Rail route in Madhya Pradesh"
Rodmal Nagar — Rajgarh,"The much awaited electrification work of the Maxi-Ruthiai track under the West-Central Railway (WCR), the only main line route of my Lok Sabha constituency Rajgarh, Central Prussia, has been completed by the Government of India and the introduction of the entire track is currently underway. With the doubling of Indore, Maksi, Ruthiyai, Guna, Shivapuri, Gwanior track, a direct, cheapest and additional rail route and shortest distance rail route can be created between ""Delhi Mumbai"". This will facilitate the movement of passengers from Delhi directly to Mabuei via Gwanior, Shivpuri, Gannu, Kubraj, Chachdaura-Binaag, Biaora, Pachor, Sarag Paru, Maksi, Indore. Doubling will provide an additional fast track route for inter-state freight transportation to the agricultural products of the region in Rajasthan, Uttar Pradesh and Maharashtra, which will give a new impetus to the industrial development of the region and will also provide additional income to the railways from commercial, medical, tourist and other passenger transport. Therefore, in public interest, please approve and promote the doubling work of Maksi, Ruthiyai, Ganu, Shivapuri, Gwaniyar tracks from Indore to meet the pressing needs of Rajgarh sub-district. (Inat) Re: Need to take comprehensive measures to check air pollution in Solapur, Maharashtra SUSHRI PRANITI SUSHILKUMAR SHINDE (SOLAPUR): Under the National Clean Air Programme, the % improvement in PM 10 levels in 2024-25 with respect to FY 2017-18 was -2% for the district of Solapur in Maharashtra. Further, it has been in the NAC category, which indicates the cities that have failed to meet the National Ambient Air Quality Standards (NAAQS) for five consecutive years. It needs to be assessed why the air quality hasn't improved in so long. Steps need to be taken to ensure that these problems are worked out and there is an improvement in the air quality. It is of utmost need that the funds released and used are each increased in Solapur, so that the levels of PM10 and other pollutants are decreased in the air. This is essential to make the place conducive for proper respiratory health and well being of the people in Solapur. I urge the Government to take immediate steps to ensure that the people of Solapur can live a life free of harmful pollutants in the air to lead a life of good health. Re: Alleged illegal mining in Tura Parliamentary Constituency"
Saleng A. Sangma — Tura(St),Illegal mining practicing in Tura Parliamentary Constituency without having documents from the Government department and misuse of funds sanctioned by the Union Government of India to autonomous District Council Garo Hills. (ends) Re: Need to issue fresh SOPs for use of pesticides and chemicals in agriculture
Rahul Kaswan — Churu,"I would like to draw the attention of the government towards the extremely alarming situation arising in the agricultural sector of the state including Rajasthan, especially Churu. Recently, in a controversial report published, it has come to light that dangerous levels of pesticides and chemical elements have been found in the blood tests of farmers. Testing of 19 farmers revealed the presence of substances like organophosphate, pythroid, glyphosate, which are believed to be responsible for headaches, nerve damage, hormonal imbalance and long-term health harm. This is not the white side of the situation, but a frightening symptom of the poison mite in the farmer's body. The impact of excessive chemicals on water, soil and environment is already increasing in the desert area of ​​Rajasthan. Farmers are continuously using banned or high-toxic chemicals due to the compulsion of higher production, the results of which are now directly visible in the human body. Hence, it is requested that the government should conduct prompt medical intervention and health survey, issue new SOP for chemical use, announce special packages for safe farming, IPM and bio-alternatives. This is an emerging public health crisis. Timely action of the government is mandatory. (Inat) Re: Need for inquiry into reported theft of gold in Sabarimala Ayyappa Temple in Kerala"
Aaditya Yadav — Badaun,"I would like to draw your attention towards the construction of Ganga Expressway in North Prussia and make you aware that truckloads of soil are used in the construction of expressways. This soil is obtained from the surrounding villages. Due to digging of soil, pond like pits have been formed at many places in the village. Any incident can happen at any time due to water filling in these pits during the rainy season. The village road leading to Ganga Expressway gets destroyed due to soil erosion. Roads get completely broken, there are potholes in the road and it is not even known whether there are potholes on the road or there is a road in the potholes. I draw the attention of the government to the villages of Bibanujhya, Raipur, Gudiya, Shahpuru, Kaprua, Rudra Naga, Baira, Dhara, Kaser, Bagarpur, Kania, Barin, Pastor, Karkatpur, Ranet, Veerampru, Pathakpur, Tehpur, Nasirtoa, Nasipur Kaithori, in the subsidy area of Badayu. I want to draw the attention of Behta that due to the construction of Ganga Expressway, all the roads here have been completely broken due to dust of soil, there are potholes on all four sides. When it rains, the surroundings get filled with water, as if the storm is waiting to strike. I would like to urge the Hon'ble Minister of Road Transport and Highways to include in the construction of Ganga Expressway the cities of Bibanujhaya, Raipur, Guruniya, Shahpuru, Kaprua, Rudra Nagai Beora, Dhara, Kaser, Bagarpuru, Kanipa, Baranin, Pastor, Karkatpuru, Ranet, Veerampru, Pathakpuru, Please make efforts to inform all the efforts to get the roads which have been broken due to the dust of soil which has been washed away from the villages of Tatehaparu, Nasirtoa, Nasiparu, Kaithori, Behta etc., repaired. (Inat) Re: Need to address the problems being faced by in-service teachers due to mandatory Teachers Eligibility Test as a service condition"
